"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","effort","income","cy","num-workers","final-demands","utility-exponents","industry","production-inputs","product","ql","output","xe","z","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","c","ef","base-color","cq","ce","du","input-quantities","nature-quantities","labor-quantities","input-exponents","nature-exponents","labor-exponents","k","s","a","debug-a","debug-k","debug-c","debug-o","debug-s","debug-cdx-1","debug-cdx-2","debug-cdx-3","debug-price-1","debug-price-2","debug-price-3"
"76","45","340","8.831683168316832","8.102602727899747","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","8.102602727899747","10","[0 0 0 0 0]","[0.13644455482393367 0.19625833252369565 0.17724081792129243 0.17098040509717033]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"77","45","270","9.158415841584159","14.669362758303128","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","14.669362758303128","10","[0 0 0 0 0]","[0.14674445866528382 0.14079118907175953 0.14188489447009786 0.1882077697901291]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"78","45","288","9.485148514851485","6.278541009875305","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","6.278541009875305","10","[0 0 0 0 0]","[0.21460983247369816 0.23637736896062939 0.12841090214241824 0.19025640619136064]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"79","45","221","9.811881188118814","9.849635999180125","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","9.849635999180125","10","[0 0 0 0 0]","[0.2259623005618439 0.16919185786710994 0.1517116554893674 0.22091056304046208]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"80","45","270","10.13861386138614","9.249157194048912","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","9.249157194048912","10","[0 0 0 0 0]","[0.2448374885224951 0.24836785233551725 0.17339192842494416 0.22952250102982824]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"81","45","235","10.465346534653467","12.063285802538651","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","12.063285802538651","10","[0 0 0 0 0]","[0.19731244677353876 0.15926497135826523 0.19506624863596878 0.20896622268133433]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"82","45","332","10.792079207920793","14.788328880059803","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","14.788328880059803","10","[0 0 0 0 0]","[0.1321809044936172 0.14538617659620326 0.14782428595072056 0.192661572618313]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"83","45","190","11.118811881188119","7.801881009284497","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","7.801881009284497","10","[0 0 0 0 0]","[0.21005500768126942 0.14452710497032356 0.1887951235185294 0.24850808596523072]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"84","45","192","11.445544554455445","14.246749950390175","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","14.246749950390175","10","[0 0 0 0 0]","[0.23870444012262915 0.15713978599511627 0.13886141300355703 0.14912034101836044]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"85","45","152","11.772277227722775","10.658345854757343","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","10.658345854757343","10","[0 0 0 0 0]","[0.1270578452430045 0.162350028483007 0.1925899433488299 0.23248544671043955]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"86","45","286","12.0990099009901","10.74352285386729","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","10.74352285386729","10","[0 0 0 0 0]","[0.23574276214287154 0.16965871950730832 0.23856689364573463 0.2029200149092687]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87","45","164","12.425742574257427","11.152396660326676","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","11.152396660326676","10","[0 0 0 0 0]","[0.2166428157021707 0.18987645291501282 0.2213604878994054 0.19610724796919532]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"88","45","121","12.752475247524753","6.967447147334012","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","6.967447147334012","10","[0 0 0 0 0]","[0.1532136678999829 0.2141236216500391 0.19496462243483173 0.12656949670942427]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"89","45","177","13.07920792079208","12.441371371001363","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","12.441371371001363","10","[0 0 0 0 0]","[0.13472235790962367 0.2019130293049508 0.22972548310178498 0.21200067532399575]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90","45","142","13.405940594059405","7.799685012116027","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","7.799685012116027","10","[0 0 0 0 0]","[0.1345211526465248 0.23655798168881642 0.21512141922618716 0.18096090386457045]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91","45","177","13.732673267326735","7.488655096109936","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","7.488655096109936","10","[0 0 0 0 0]","[0.21088228563582817 0.17835135429047436 0.21606967526819248 0.21954192397932767]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"92","45","315","14.059405940594061","8.42100945658885","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","8.42100945658885","10","[0 0 0 0 0]","[0.22896157333794406 0.19391561857857342 0.1337601862332607 0.18405937987777543]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93","45","84","14.386138613861387","9.84030908480283","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","9.84030908480283","10","[0 0 0 0 0]","[0.16791828017656935 0.2247048505245824 0.23499978694109655 0.23798024427535386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94","45","315","14.712871287128714","6.113433968647149","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","6.113433968647149","10","[0 0 0 0 0]","[0.20905873123172133 0.21085102810265585 0.181155844736424 0.23934858503678097]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"95","45","169","15.03960396039604","9.042210422534783","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","9.042210422534783","10","[0 0 0 0 0]","[0.22387252158535942 0.2186402961467393 0.18322880639712674 0.13529076110586719]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
